# Xlam,PX,Ylam,PY
1.000000000000000000e+00,4.547521600727603302e-04,1.000000000000000000e+00,1.154324276327473031e-03
1.001465103889184860e+00,2.273760800363801814e-03,1.001364256480218318e+00,2.663825253063398886e-04
1.003063399041022929e+00,-4.547521600727603302e-04,1.002864938608458267e+00,2.663825253063398886e-04
1.004528502930207789e+00,4.547521600727603302e-04,1.004502046384720293e+00,1.154324276327473031e-03
1.006126798082045859e+00,1.364256480218280828e-03,1.006002728512960465e+00,2.663825253063398886e-04
1.007725093233883928e+00,-4.547521600727603302e-04,1.007503410641200414e+00,2.663825253063398886e-04
1.009190197123068788e+00,1.364256480218280828e-03,1.009140518417462440e+00,1.154324276327473031e-03
1.010788492274906858e+00,-4.547521600727603302e-04,1.010641200545702612e+00,2.663825253063398886e-04
1.012386787426744705e+00,4.547521600727603302e-04,1.012278308321964415e+00,2.663825253063398886e-04
1.013851891315929787e+00,2.273760800363801814e-03,1.013778990450204587e+00,2.663825253063398886e-04
1.015050612679808228e+00,-4.547521600727603302e-04,1.015143246930422904e+00,1.154324276327473031e-03
1.016648907831646298e+00,3.183265120509322366e-03,1.016507503410641222e+00,1.154324276327473031e-03
1.018114011720831158e+00,2.273760800363801814e-03,1.018008185538881172e+00,2.042266027348605632e-03
1.019712306872669227e+00,3.183265120509322366e-03,1.019645293315143197e+00,2.930207778369739099e-03
1.021310602024507297e+00,4.092769440654842918e-03,1.021145975443383369e+00,2.930207778369739099e-03
1.022908897176345144e+00,5.002273760800363470e-03,1.022783083219645173e+00,5.594033031433138202e-03
1.024507192328183214e+00,5.911778080945884022e-03,1.024283765347885344e+00,5.594033031433138202e-03
1.026105487480021283e+00,3.183265120509322366e-03,1.025920873124147370e+00,5.594033031433138202e-03
1.027703782631859353e+00,5.911778080945884022e-03,1.027421555252387542e+00,7.369916533475404270e-03
1.029302077783697422e+00,5.911778080945884022e-03,1.029058663028649345e+00,7.369916533475404270e-03
1.030500799147575863e+00,5.911778080945884022e-03,1.030422919508867663e+00,8.346652459598650348e-03
1.032099094299413933e+00,6.821282401091404574e-03,1.031787175989085981e+00,1.101047771266204858e-02
1.033697389451252002e+00,6.821282401091404574e-03,1.033287858117325930e+00,1.101047771266204858e-02
1.035162493340436862e+00,6.821282401091404574e-03,1.034924965893587956e+00,1.456224471674658072e-02
1.036893979754928141e+00,1.218735788994997765e-02,1.036562073669849982e+00,1.633812821878884505e-02
1.038492274906766211e+00,9.458844929513415128e-03,1.038199181446112007e+00,1.633812821878884505e-02
1.039957378795951071e+00,1.309686221009549907e-02,1.039699863574351957e+00,1.820280589593322590e-02
1.041688865210442128e+00,1.400636653024101702e-02,1.041336971350613982e+00,1.820280589593322590e-02
1.043287160362280197e+00,1.582537517053205986e-02,1.042974079126876008e+00,2.175457290001775804e-02
1.044752264251465057e+00,1.937244201909959010e-02,1.044474761255115958e+00,2.175457290001775804e-02
1.046084176877996708e+00,1.855388813096862238e-02,1.045975443383356129e+00,2.894690108328893535e-02
1.047682472029834999e+00,1.764438381082309923e-02,1.047339699863574447e+00,2.983484283431006925e-02
1.049280767181672847e+00,2.210095497953614915e-02,1.048976807639836251e+00,3.516249334043686919e-02
1.050879062333510916e+00,2.301045929968167231e-02,1.050613915416098276e+00,3.613922926656011614e-02
1.052477357485348985e+00,2.210095497953614915e-02,1.052251023192360080e+00,4.235482152370804304e-02
1.054075652637187055e+00,2.846748522055479388e-02,1.053888130968622105e+00,4.599538270289468822e-02
1.055673947789025124e+00,3.110504774897680791e-02,1.055525238744884131e+00,4.865920795595809339e-02
1.057272242940862972e+00,3.565256934970440633e-02,1.057025920873124081e+00,5.132303320902148469e-02
1.058870538092701041e+00,3.656207366984993296e-02,1.058663028649386106e+00,5.673947789025039767e-02
1.060602024507192320e+00,4.201909959072305106e-02,1.060300136425648132e+00,6.295507014739833151e-02
1.061800745871070983e+00,4.283765347885402225e-02,1.061800818553888082e+00,6.659563132658496976e-02
1.063399041022908831e+00,4.465666211914506162e-02,1.063165075034106399e+00,7.192328183271178010e-02
1.064997336174746900e+00,5.011368804001818666e-02,1.064802182810368425e+00,7.911561001598295395e-02
1.066728822589238179e+00,5.193269668030923297e-02,1.066439290586630229e+00,8.275617119516959219e-02
1.068327117741076249e+00,5.547976352887675627e-02,1.068076398362892254e+00,8.897176345231752603e-02
1.070058604155567528e+00,5.729877216916779564e-02,1.069713506139154280e+00,9.438820813354642514e-02
1.071656899307405375e+00,6.457480673033196006e-02,1.071487039563437937e+00,1.024684780678387364e-01
1.073255194459243445e+00,6.903137789904500998e-02,1.073124147339699963e+00,1.123246315041733362e-01
1.074986680873734723e+00,7.175989085948157598e-02,1.074761255115961767e+00,1.167643402592789814e-01
1.076584976025572793e+00,7.803547066848566527e-02,1.076398362892223792e+00,1.266204936956135674e-01
1.077916888652104443e+00,8.531150522964983662e-02,1.077899045020463742e+00,1.338128218788847412e-01
1.079515183803942513e+00,8.622100954979536325e-02,1.079263301500682282e+00,1.410051500621559151e-01
1.081113478955780582e+00,9.158708503865393979e-02,1.080900409276944085e+00,1.481974782454270889e-01
1.082844965370271861e+00,9.886311959981808339e-02,1.082673942701227743e+00,1.562777481797194001e-01
