# Xlam,PX,Ylam,PY
1.000000000000000000e+00,-4.604687571948243752e-04,1.000000000000000000e+00,2.776235424764020234e-04
1.001110494169905607e+00,2.302343785974121822e-03,1.001933968780218231e+00,2.776235424764020234e-04
1.002220988339811214e+00,4.604687571948243752e-04,1.004006078187595019e+00,2.776235424764020234e-04
1.003331482509716821e+00,-4.604687571948243752e-04,1.006354468849288697e+00,2.776235424764020234e-04
1.004441976679622428e+00,2.302343785974121822e-03,1.008564718883823819e+00,1.203035350731075561e-03
1.005552470849528035e+00,-4.604687571948243752e-04,1.010774968918358940e+00,2.776235424764020234e-04
1.006662965019433642e+00,4.604687571948243752e-04,1.012985218952894062e+00,2.776235424764020234e-04
1.007773459189339249e+00,2.302343785974121822e-03,1.015195468987429184e+00,1.203035350731075561e-03
1.008606329816768454e+00,-4.604687571948243752e-04,1.016853156513330525e+00,2.776235424764020234e-04
1.009716823986674061e+00,1.381406271584472963e-03,1.019201547175024203e+00,1.203035350731075561e-03
1.010827318156579668e+00,2.302343785974121822e-03,1.021411797209559325e+00,1.203035350731075561e-03
1.011937812326485275e+00,-4.604687571948243752e-04,1.023622047244094446e+00,1.203035350731075561e-03
1.013048306496390882e+00,2.302343785974121822e-03,1.025832297278629790e+00,3.979270775495096120e-03
1.014158800666296489e+00,4.604687571948243752e-04,1.028180687940323246e+00,5.830094392004442870e-03
1.015269294836202096e+00,3.223281300363770897e-03,1.030390937974858589e+00,5.830094392004442870e-03
1.016102165463631302e+00,3.223281300363770897e-03,1.032463047382235155e+00,4.904682583749768628e-03
1.017212659633536909e+00,3.223281300363770897e-03,1.034397016162453387e+00,6.755506200259115378e-03
1.018323153803442516e+00,4.144218814753419106e-03,1.036745406824147064e+00,6.755506200259115378e-03
1.019433647973348123e+00,5.065156329143068181e-03,1.038955656858682186e+00,7.680918008513789620e-03
1.020544142143253730e+00,5.986093843532717257e-03,1.041304047520375864e+00,1.240051823061262375e-02
1.021654636313159337e+00,3.223281300363770897e-03,1.043652438182069320e+00,1.147510642235794950e-02
1.022903942254303145e+00,5.986093843532717257e-03,1.045862688216604441e+00,1.425134184712197050e-02
1.024014436424208752e+00,5.065156329143068181e-03,1.048211078878298119e+00,1.425134184712197050e-02
1.024847307051637957e+00,5.986093843532717257e-03,1.050006907031358017e+00,1.517675365537664474e-02
1.025957801221543564e+00,6.907031357922365465e-03,1.052355297693051694e+00,1.804553026096613125e-02
1.027068295391449171e+00,6.907031357922365465e-03,1.054565547727586816e+00,1.804553026096613125e-02
1.028178789561354778e+00,7.735875120873049980e-03,1.056913938389280272e+00,1.804553026096613125e-02
1.029289283731260385e+00,1.234056269282129276e-02,1.059262329050973950e+00,2.174717749398482475e-02
1.030538589672404415e+00,9.577750149652347264e-03,1.061610719712667628e+00,2.637423653525819423e-02
1.031649083842310022e+00,1.326150020721094357e-02,1.063820969747202749e+00,3.016842494910235498e-02
1.032481954469739005e+00,1.418243772160058917e-02,1.066031219781737871e+00,3.201924856561170346e-02
1.033592448639644612e+00,1.418243772160058917e-02,1.067965188561956102e+00,3.572089579863039349e-02
1.034702942809550219e+00,1.602431275037988906e-02,1.070451719850808114e+00,3.766426059596521270e-02
1.035952248750694027e+00,1.786618777915918721e-02,1.072800110512501792e+00,4.414214325374792719e-02
1.037062742920599634e+00,1.961596905649951733e-02,1.075148501174195470e+00,5.071256709235610893e-02
1.038173237090505241e+00,1.961596905649951733e-02,1.077496891835888926e+00,5.256339070886545395e-02
1.039422543031649271e+00,2.053690657088916641e-02,1.079983423124741160e+00,5.913381454747362875e-02
1.040533037201554878e+00,2.145784408527881548e-02,1.082331813786434616e+00,6.561169720525633631e-02
1.041365907828983861e+00,2.329971911405811363e-02,1.084127641939494513e+00,7.033129742735517997e-02
1.042476401998889468e+00,2.698346917161670647e-02,1.086476032601187969e+00,7.782713307421802729e-02
1.043586896168795075e+00,2.882534420039600462e-02,1.088962563890039981e+00,8.717379233759023349e-02
1.044836202109938883e+00,3.149606299212599075e-02,1.091310954551733658e+00,8.995002776235425102e-02
1.045946696279844490e+00,3.610075056407423266e-02,1.093659345213427336e+00,9.837127521747177084e-02
1.047057190449750097e+00,3.610075056407423266e-02,1.096145876502279348e+00,1.077179344808439770e-01
