# Xlam,PX,Ylam,PY
1.000000000000000000e+00,-4.572473708276177259e-04,1.000000000000000000e+00,2.719978240174079150e-04
1.002039983680130586e+00,2.286236854138088900e-03,1.000960219478737923e+00,2.719978240174079150e-04
1.004351965184278495e+00,-4.572473708276177259e-04,1.002057613168724215e+00,2.719978240174079150e-04
1.006527947776417742e+00,1.371742112482853123e-03,1.003155006858710507e+00,2.719978240174079150e-04
1.008839929280565872e+00,1.371742112482853123e-03,1.004252400548696800e+00,1.178657237408767613e-03
1.011015911872705120e+00,-4.572473708276177259e-04,1.005349794238683092e+00,2.719978240174079150e-04
1.013327893376853028e+00,1.371742112482853123e-03,1.006584362139917754e+00,1.178657237408767613e-03
1.015503875968992276e+00,4.572473708276177259e-04,1.007681755829904047e+00,1.178657237408767613e-03
1.017135862913096656e+00,4.572473708276177259e-04,1.008504801097393822e+00,2.719978240174079150e-04
1.019447844417244786e+00,2.286236854138088900e-03,1.009602194787380114e+00,2.991976064191487119e-03
1.021623827009384033e+00,2.286236854138088900e-03,1.010699588477366184e+00,2.991976064191487119e-03
1.023935808513531942e+00,2.286236854138088900e-03,1.011796982167352477e+00,4.805294890974205757e-03
1.026111791105671189e+00,1.371742112482853123e-03,1.012894375857338769e+00,3.898635477582846655e-03
1.028423772609819098e+00,4.115226337448559153e-03,1.013991769547325061e+00,6.618613717756924829e-03
1.030735754113967007e+00,2.286236854138088900e-03,1.015226337448559724e+00,4.805294890974205757e-03
1.032503739970080270e+00,4.115226337448559153e-03,1.016186556927297646e+00,5.711954304365565727e-03
1.034679722562219517e+00,5.944215820759030273e-03,1.017146776406035569e+00,6.618613717756924829e-03
1.036991704066367426e+00,4.115226337448559153e-03,1.018244170096021861e+00,7.525273131148285666e-03
1.039303685570515556e+00,5.944215820759030273e-03,1.019341563786008154e+00,7.525273131148285666e-03
1.041615667074663465e+00,5.944215820759030273e-03,1.020438957475994446e+00,1.214923613944421908e-02
1.043927648578811374e+00,5.944215820759030273e-03,1.021536351165980738e+00,1.214923613944421908e-02
1.046239630082959504e+00,6.858710562414265834e-03,1.022770919067215400e+00,1.396255496622693902e-02
1.048551611587107413e+00,6.858710562414265834e-03,1.023868312757201693e+00,1.486921437961829899e-02
1.050183598531211793e+00,6.858710562414265834e-03,1.024691358024691246e+00,1.486921437961829899e-02
1.052495580035359701e+00,1.133973479652491956e-02,1.025788751714677538e+00,1.577587379300966069e-02
1.054807561539507832e+00,9.510745313214450172e-03,1.026886145404663830e+00,1.668253320640101720e-02
1.057255541955664402e+00,1.316872427983539241e-02,1.027983539094650123e+00,1.858651797452287244e-02
1.059567523459812310e+00,1.133973479652491956e-02,1.029218106995884785e+00,1.767985856113151247e-02
1.061879504963960219e+00,1.316872427983539241e-02,1.030315500685871077e+00,1.949317738791423241e-02
1.064191486468108350e+00,1.408321902149062624e-02,1.031412894375857370e+00,2.130649621469695235e-02
1.066095471236230274e+00,1.682670324645633292e-02,1.032510288065843662e+00,2.402647445487103225e-02
1.068271453828369522e+00,1.865569272976680404e-02,1.033470507544581585e+00,2.583979328165375219e-02
1.070583435332517430e+00,1.774119798811156848e-02,1.034567901234567877e+00,2.955709687655832391e-02
1.073031415748674222e+00,2.039323273891175195e-02,1.035802469135802539e+00,3.227707511673240381e-02
1.075343397252821909e+00,2.222222222222221960e-02,1.036899862825788832e+00,3.590371277029784369e-02
1.077791377668978701e+00,2.222222222222221960e-02,1.037997256515775124e+00,3.690103812502833897e-02
1.080103359173126609e+00,2.679469593049839740e-02,1.039231824417009564e+00,4.324765401876785875e-02
1.082415340677274740e+00,2.862368541380886852e-02,1.040329218106995857e+00,4.787161702706379390e-02
1.084319325445396442e+00,3.127572016460905546e-02,1.041152263374485631e+00,4.877827644045515387e-02
1.086631306949544573e+00,3.401920438957475867e-02,1.042386831275720294e+00,5.421823292080330675e-02
1.089079287365701143e+00,3.584819387288522979e-02,1.043484224965706364e+00,5.521555827553380202e-02
1.091527267781857713e+00,3.950617283950617203e-02,1.044581618655692656e+00,6.246883358266468178e-02
1.093975248198014505e+00,4.307270233196159454e-02,1.045816186556927319e+00,6.618613717756925696e-02
1.096423228614171075e+00,4.764517604023776887e-02,1.046913580246913611e+00,7.162609365791741678e-02
1.098735210118319205e+00,5.221764974851395014e-02,1.048010973936899903e+00,7.715671607960469802e-02
1.100775193798449569e+00,5.221764974851395014e-02,1.049108367626886196e+00,8.359399791468336005e-02
1.103087175302597700e+00,5.761316872427982988e-02,1.050068587105624118e+00,8.450065732807472696e-02
1.105399156806745609e+00,6.401463191586648227e-02,1.051165980795610411e+00,8.994061380842287290e-02
1.107847137222902401e+00,6.758116140832190477e-02,1.052400548696845073e+00,9.547123623011016802e-02
1.110295117639058970e+00,7.215363511659808604e-02,1.053635116598079513e+00,1.028151774785801970e-01
1.112743098055215540e+00,7.937814357567443690e-02,1.054732510288065805e+00,1.100684527857110628e-01
1.115191078471372110e+00,8.395061728395061817e-02,1.055967078189300468e+00,1.146924157940070049e-01
1.117639058887528902e+00,8.852309099222678557e-02,1.057064471879286760e+00,1.210390316877465039e-01
1.119543043655650605e+00,9.117512574302696904e-02,1.058024691358024683e+00,1.265696541094338268e-01
1.121991024071807397e+00,1.003200731595793316e-01,1.059122085048010975e+00,1.357269141846865479e-01
1.124439004487964189e+00,1.075445816186556824e-01,1.060356652949245637e+00,1.448841742599392690e-01
1.127022983816129642e+00,1.138545953360768220e-01,1.061454046639231930e+00,1.504147966816265780e-01
1.129470964232286212e+00,1.184270690443529894e-01,1.062688614540466370e+00,1.585747314021488108e-01
1.131918944648443004e+00,1.248285322359396349e-01,1.063786008230452662e+00,1.668253320640101789e-01
1.134502923976608235e+00,1.347965249199817028e-01,1.065020576131687324e+00,1.750759327258715470e-01
1.136542907656738599e+00,1.411065386374028285e-01,1.066117969821673617e+00,1.833265333877329428e-01
1.138854889160886730e+00,1.492455418381344323e-01,1.067078189300411539e+00,1.888571558094202241e-01
1.141438868489052183e+00,1.529035208047553607e-01,1.068312757201646201e+00,1.998277347114556790e-01
1.143886848905208753e+00,1.637860082304526677e-01,1.069410150891632494e+00,2.107983136134911339e-01
1.146470828233374206e+00,1.728395061728394966e-01,1.070644718792866934e+00,2.190489142753524743e-01
1.148918808649530998e+00,1.819844535893918591e-01,1.071742112482853226e+00,2.272995149372138701e-01
1.151502787977696229e+00,1.892089620484682100e-01,1.072976680384087889e+00,2.382700938392493251e-01
1.154086767305861683e+00,2.000914494741655170e-01,1.074074074074074181e+00,2.483340133278933992e-01
1.155990752073983385e+00,2.055784179240969511e-01,1.075034293552812104e+00,2.547712951629720890e-01
1.158438732490140177e+00,2.192043895747599613e-01,1.076131687242798396e+00,2.639285552382247824e-01
1.161022711818305631e+00,2.273433927754915373e-01,1.077366255144032836e+00,2.767124529670429434e-01
1.163606691146471084e+00,2.382258802011888443e-01,1.078600823045267498e+00,2.867763724556871008e-01
1.166190670474636315e+00,2.509373571101966016e-01,1.079698216735253791e+00,2.986536107711138532e-01
1.168774649802801546e+00,2.599908550525834583e-01,1.080932784636488231e+00,3.096241896731493082e-01
1.171358629130967000e+00,2.708733424782807653e-01,1.082167352537722893e+00,3.224987533433066322e-01
1.173534611723106247e+00,2.854138088705989729e-01,1.083264746227709185e+00,3.316560134185593256e-01
