# Xlam,PX,Ylam,PY
1.000000000000000000e+00,4.559963520291837602e-04,1.000000000000000000e+00,1.166756417160294502e-03
1.002019386106623555e+00,4.559963520291837602e-04,1.000000000000000000e+00,2.692514808831448559e-04
1.004038772213247110e+00,-4.559963520291837602e-04,1.000000000000000000e+00,2.692514808831448559e-04
1.006058158319870666e+00,1.367989056087551281e-03,1.000000000000000000e+00,2.064261353437443769e-03
1.008212170166935984e+00,4.559963520291837602e-04,1.000000000000000000e+00,2.692514808831448559e-04
1.010231556273559539e+00,4.559963520291837602e-04,1.000000000000000000e+00,1.166756417160294502e-03
1.012385568120624635e+00,2.279981760145918801e-03,1.000000000000000000e+00,1.166756417160294502e-03
1.014404954227248190e+00,-4.559963520291837602e-04,1.000000000000000000e+00,2.692514808831448559e-04
1.016424340333871745e+00,2.279981760145918801e-03,1.000000000000000000e+00,1.166756417160294502e-03
1.018578352180937063e+00,1.367989056087551281e-03,1.000000000000000000e+00,2.692514808831448559e-04
1.020193861066235996e+00,-4.559963520291837602e-04,1.000000000000000000e+00,2.692514808831448559e-04
1.022213247172859552e+00,1.367989056087551281e-03,1.000000000000000000e+00,1.166756417160294502e-03
1.024367259019924647e+00,-4.559963520291837602e-04,1.000000000000000000e+00,2.692514808831448559e-04
1.026386645126548203e+00,4.559963520291837602e-04,1.000000000000000000e+00,1.166756417160294502e-03
1.028540656973613521e+00,1.367989056087551281e-03,1.000000000000000000e+00,2.064261353437443769e-03
1.030694668820678617e+00,4.559963520291837602e-04,1.000000000000000000e+00,2.692514808831448559e-04
1.032848680667743713e+00,4.559963520291837602e-04,1.000000000000000000e+00,1.166756417160294502e-03
1.034868066774367268e+00,3.191974464204286755e-03,1.000000000000000000e+00,1.166756417160294502e-03
1.037022078621432364e+00,-4.559963520291837602e-04,1.000000000000000000e+00,2.692514808831448559e-04
1.039176090468497682e+00,2.279981760145918801e-03,1.000000000000000000e+00,1.166756417160294502e-03
1.040791599353796393e+00,1.367989056087551281e-03,1.000000000000000000e+00,2.692514808831448559e-04
1.042810985460420170e+00,2.279981760145918801e-03,1.000000000000000000e+00,2.692514808831448559e-04
1.044964997307485266e+00,2.279981760145918801e-03,1.000000000000000000e+00,1.166756417160294502e-03
1.047119009154550362e+00,3.191974464204286755e-03,1.000000000000000000e+00,2.064261353437443769e-03
1.049273021001615680e+00,3.191974464204286755e-03,1.000000000000000000e+00,2.064261353437443769e-03
1.051427032848680776e+00,3.191974464204286755e-03,1.000000000000000000e+00,1.166756417160294502e-03
1.053581044695745872e+00,5.927952576379388883e-03,1.000000000000000000e+00,3.859271225991743604e-03
1.055735056542810968e+00,4.103967168262653842e-03,1.000000000000000000e+00,2.961766289714593686e-03
1.057889068389876286e+00,5.927952576379388883e-03,1.000000000000000000e+00,3.859271225991743604e-03
1.060043080236941382e+00,5.015959872321021362e-03,1.000000000000000000e+00,5.654281098546042571e-03
1.061793214862681856e+00,2.279981760145918801e-03,1.000000000000000000e+00,3.859271225991743604e-03
1.063812600969305411e+00,5.927952576379388883e-03,1.000000000000000000e+00,6.551786034823191621e-03
1.066101238556812048e+00,5.015959872321021362e-03,1.000000000000000000e+00,4.756776162268892653e-03
1.068255250403877366e+00,4.103967168262653842e-03,1.000000000000000000e+00,4.756776162268892653e-03
1.070543887991384002e+00,5.927952576379388883e-03,1.000000000000000000e+00,6.551786034823191621e-03
