# Xlam,PX,Ylam,PY
1.000000000000000000e+00,2.263262719536484040e-03,1.000000000000000000e+00,-6.247211066488175552e-04
1.000000000000000000e+00,4.526525439072968081e-04,1.001901140684410718e+00,2.677376171352075082e-04
1.000000000000000000e+00,4.526525439072968081e-04,1.003938077131993456e+00,2.677376171352075082e-04
1.000000000000000000e+00,1.357957631721890207e-03,1.006110809342748436e+00,2.052655064703257527e-03
1.000000000000000000e+00,4.526525439072968081e-04,1.008147745790331395e+00,2.677376171352075082e-04
1.000000000000000000e+00,2.263262719536484040e-03,1.010184682237914133e+00,1.160196340919232572e-03
1.000000000000000000e+00,1.357957631721890207e-03,1.012357414448669335e+00,2.677376171352075082e-04
1.000000000000000000e+00,1.357957631721890207e-03,1.014394350896252073e+00,1.160196340919232572e-03
1.000000000000000000e+00,2.263262719536484040e-03,1.016431287343835033e+00,1.160196340919232572e-03
1.000000000000000000e+00,3.168567807351077657e-03,1.018468223791417770e+00,1.160196340919232572e-03
1.000000000000000000e+00,3.168567807351077657e-03,1.020097772949484005e+00,2.945113788487282482e-03
1.000000000000000000e+00,4.073872895165670839e-03,1.022134709397066743e+00,2.945113788487282482e-03
1.000000000000000000e+00,5.884483070794858071e-03,1.024307441607821945e+00,6.514948683623382301e-03
1.000000000000000000e+00,4.073872895165670839e-03,1.026344378055404682e+00,4.730031236055332391e-03
1.000000000000000000e+00,4.979177982980264455e-03,1.028517110266159662e+00,4.730031236055332391e-03
1.000000000000000000e+00,5.884483070794858071e-03,1.030689842476914642e+00,6.514948683623382301e-03
1.000000000000000000e+00,3.168567807351077657e-03,1.032726778924497602e+00,7.407407407407407690e-03
1.000000000000000000e+00,4.979177982980264455e-03,1.034899511135252581e+00,7.407407407407407690e-03
1.000000000000000000e+00,4.979177982980264455e-03,1.036936447582835541e+00,7.407407407407407690e-03
1.000000000000000000e+00,4.979177982980264455e-03,1.039109179793590521e+00,9.281570727353860573e-03
1.000000000000000000e+00,6.789788158609451688e-03,1.040874524714828997e+00,1.374386434627398491e-02
1.000000000000000000e+00,6.789788158609451688e-03,1.042775665399239493e+00,1.285140562248996213e-02
1.000000000000000000e+00,6.789788158609451688e-03,1.044948397609994695e+00,1.463632307005801117e-02
1.000000000000000000e+00,6.789788158609451688e-03,1.047121129820749674e+00,2.008032128514056214e-02
1.000000000000000000e+00,6.789788158609451688e-03,1.049293862031504654e+00,1.740294511378848857e-02
1.000000000000000000e+00,1.213108817671555532e-02,1.051330798479087392e+00,1.642124051762606021e-02
1.000000000000000000e+00,1.213108817671555532e-02,1.053503530689842593e+00,2.186523873270861118e-02
1.000000000000000000e+00,9.415172913271773608e-03,1.055676262900597573e+00,2.543507362784471620e-02
1.000000000000000000e+00,1.303639326453014807e-02,1.057848995111352552e+00,2.820169567157519014e-02
1.000000000000000000e+00,1.394169835234474082e-02,1.059885931558935512e+00,2.998661311914324265e-02
1.000000000000000000e+00,1.394169835234474082e-02,1.061651276480173989e+00,3.444890673806336179e-02
1.000000000000000000e+00,1.928299837045084272e-02,1.063688212927756727e+00,3.534136546184739325e-02
1.000000000000000000e+00,1.756291870360311702e-02,1.065996740901683948e+00,3.989290495314591622e-02
1.000000000000000000e+00,1.928299837045084272e-02,1.068169473112438927e+00,4.622936189201249518e-02
1.000000000000000000e+00,1.846822379141771150e-02,1.070342205323193907e+00,4.979919678714860021e-02
1.000000000000000000e+00,1.928299837045084272e-02,1.072514937533949109e+00,5.435073627844712318e-02
1.000000000000000000e+00,2.109360854608003169e-02,1.074823465507876108e+00,5.792057117358322127e-02
