# Xlam,PX,Ylam,PY
1.000000000000000000e+00,4.066032365617630270e-04,1.000000000000000000e+00,2.495321272613848702e-04
1.001497192763568300e+00,2.033016182808815298e-03,1.001341790680653654e+00,2.744853399875233843e-03
1.002994385527136600e+00,4.066032365617630270e-04,1.002927543303244518e+00,2.495321272613848702e-04
1.004616344354335444e+00,1.219809709685288918e-03,1.004391314954866887e+00,2.495321272613848702e-04
1.006113537117903967e+00,2.033016182808815298e-03,1.005977067577457751e+00,2.495321272613848702e-04
1.007735495945102810e+00,1.219809709685288918e-03,1.007562820200048614e+00,2.495321272613848702e-04
1.009232688708671111e+00,2.846222655932341243e-03,1.009148572822639478e+00,1.081305884799334564e-03
1.010854647535870177e+00,-4.066032365617630270e-04,1.010612344474262070e+00,2.495321272613848702e-04
1.012351840299438477e+00,1.219809709685288918e-03,1.012198097096852933e+00,2.495321272613848702e-04
1.013849033063006777e+00,3.659429129055866755e-03,1.013783849719443797e+00,2.495321272613848702e-04
1.015096693699313768e+00,3.659429129055866755e-03,1.015125640400097673e+00,2.495321272613848702e-04
1.016593886462882068e+00,3.659429129055866755e-03,1.016467431080751327e+00,1.913079642337284095e-03
1.018215845290080912e+00,4.066032365617630270e-04,1.018053183703342190e+00,1.913079642337284095e-03
1.019713038053649434e+00,5.285842075302919080e-03,1.019638936325933054e+00,2.495321272613848702e-04
1.021334996880848278e+00,3.659429129055866755e-03,1.021224688948523918e+00,1.081305884799334564e-03
1.022956955708047344e+00,5.285842075302919080e-03,1.022810441571114781e+00,2.495321272613848702e-04
1.024454148471615644e+00,4.472635602179393134e-03,1.024396194193705645e+00,1.081305884799334564e-03
1.026076107298814710e+00,5.285842075302919080e-03,1.025981946816296508e+00,1.913079642337284095e-03
1.027698066126013554e+00,5.285842075302919080e-03,1.027445718467918878e+00,1.913079642337284095e-03
1.029195258889582076e+00,4.472635602179393134e-03,1.029031471090509742e+00,1.913079642337284095e-03
1.030442919525888845e+00,3.659429129055866755e-03,1.030495242742132334e+00,3.576627157413183808e-03
1.031940112289457367e+00,5.285842075302919080e-03,1.031837033422785987e+00,6.071948430027031968e-03
1.033562071116656211e+00,6.099048548426445025e-03,1.033422786045376851e+00,3.576627157413183808e-03
1.035184029943855277e+00,4.472635602179393134e-03,1.035008538667967715e+00,5.240174672489082870e-03
1.036805988771054343e+00,5.285842075302919080e-03,1.036594291290558578e+00,5.240174672489082870e-03
1.038427947598253187e+00,2.846222655932341243e-03,1.038180043913149664e+00,3.576627157413183808e-03
1.039925140361821709e+00,5.285842075302919080e-03,1.039765796535740527e+00,6.071948430027031968e-03
1.041547099189020553e+00,4.472635602179393134e-03,1.041351549158331391e+00,4.408400914951132905e-03
1.043169058016219619e+00,3.659429129055866755e-03,1.042937301780922255e+00,6.071948430027031968e-03
1.044791016843418685e+00,5.285842075302919080e-03,1.044523054403513118e+00,6.071948430027031968e-03
1.046038677479725454e+00,5.285842075302919080e-03,1.045986826055135488e+00,6.903722187564981932e-03
1.047535870243293754e+00,5.285842075302919080e-03,1.047328616735789142e+00,6.903722187564981932e-03
1.049157829070492820e+00,6.830934374237618636e-03,1.048914369358380005e+00,6.903722187564981932e-03
1.050779787897691886e+00,6.099048548426445025e-03,1.050622102951939363e+00,8.650447078394676512e-03
1.052401746724890730e+00,6.099048548426445025e-03,1.052207855574530226e+00,1.280931586608442460e-02
1.054023705552089796e+00,6.099048548426445025e-03,1.053793608197121090e+00,1.197754210854647637e-02
1.055770430442919405e+00,7.644140847361144582e-03,1.055501341790680669e+00,1.280931586608442460e-02
1.057392389270118471e+00,1.171017321297877604e-02,1.057087094413271533e+00,1.621958827199001738e-02
1.059014348097317315e+00,9.270553793608197340e-03,1.058672847035862397e+00,1.621958827199001738e-02
1.060636306924516381e+00,1.171017321297877604e-02,1.060380580629421754e+00,1.447286338116032453e-02
1.061883967560823594e+00,1.252337968610230112e-02,1.061844352281044124e+00,1.871490954460386727e-02
1.063381160324391672e+00,1.252337968610230112e-02,1.063186142961697778e+00,2.037845705967976373e-02
1.065127885215221504e+00,1.577620557859640490e-02,1.064771895584288863e+00,2.037845705967976373e-02
1.066749844042420570e+00,1.658941205171993172e-02,1.066479629177848221e+00,2.628405073819920987e-02
1.068371802869619414e+00,1.658941205171993172e-02,1.068065381800439084e+00,2.794759825327510980e-02
1.069993761696818479e+00,1.333658615922582794e-02,1.069773115393998442e+00,3.293824079850280612e-02
1.071615720524017545e+00,1.658941205171993172e-02,1.071358868016589305e+00,3.385319193179454900e-02
1.073237679351216389e+00,2.220053671627226360e-02,1.073066601610148885e+00,3.884383447702224879e-02
1.074859638178415455e+00,2.220053671627226360e-02,1.074652354232739748e+00,4.050738199209814872e-02
1.076606363069245065e+00,2.220053671627226360e-02,1.076360087826299106e+00,4.558120191307964142e-02
1.077854023705551834e+00,2.545336260876636392e-02,1.077823859477921475e+00,4.974007070076938430e-02
1.079475982532751122e+00,2.707977555501341754e-02,1.079165650158575129e+00,5.148679559159908409e-02
1.081097941359950187e+00,2.626656908188989073e-02,1.080873383752134709e+00,5.564566437928883391e-02
1.082844666250779797e+00,3.187769374644221915e-02,1.082581117345694066e+00,5.988771054273236971e-02
1.084466625077978641e+00,3.269090021956574943e-02,1.084166869968284930e+00,6.654190060303596943e-02
1.086088583905177707e+00,3.675693258518338002e-02,1.085874603561844509e+00,7.244749428155540516e-02
1.087835308796007316e+00,3.830202488411808132e-02,1.087582337155403645e+00,7.411104179663131897e-02
1.089457267623206382e+00,4.074164430348865135e-02,1.089290070748963002e+00,8.168018299022665463e-02
1.091203992514036214e+00,4.399447019598275860e-02,1.090875823371553865e+00,8.758577666874609036e-02
1.092825951341235058e+00,4.562088314222981222e-02,1.092583556965113445e+00,9.340819297151174705e-02
1.094198378041172592e+00,4.960559486053508355e-02,1.094169309587704308e+00,1.001455604075691258e-01
1.095820336868371658e+00,5.123200780678213717e-02,1.095511100268357962e+00,1.068829278436265184e-01
1.097442295695570724e+00,5.529804017239977471e-02,1.097218833861917542e+00,1.093782491162403753e-01
1.099189020586400556e+00,5.773765959177034474e-02,1.098926567455476899e+00,1.161156165522977818e-01
1.100810979413599400e+00,6.172237131007562300e-02,1.100634301049036257e+00,1.261800790185069743e-01
1.102557704304429009e+00,6.497519720256973719e-02,1.102342034642595836e+00,1.337492202121023099e-01
