# Xlam,PX,Ylam,PY
1.000000000000000000e+00,1.257071024512884791e-03,1.000000000000000000e+00,1.970865467009425952e-03
1.001028277634961494e+00,2.095118374188141390e-03,1.001759899434317980e+00,1.113967437874893024e-03
1.002185089974293009e+00,4.190236748376282997e-04,1.004022627278441160e+00,2.570694087403598786e-04
1.003213367609254503e+00,2.095118374188141390e-03,1.006285355122564562e+00,1.113967437874893024e-03
1.004370179948586017e+00,-4.190236748376282997e-04,1.008422375864236331e+00,2.570694087403598786e-04
1.005398457583547511e+00,4.190236748376282997e-04,1.010685103708359733e+00,1.113967437874893024e-03
1.006555269922879248e+00,2.095118374188141390e-03,1.012822124450031502e+00,2.570694087403598786e-04
1.007583547557840742e+00,4.190236748376282997e-04,1.015084852294154460e+00,2.570694087403598786e-04
1.008483290488431772e+00,1.257071024512884791e-03,1.016719044626021473e+00,1.113967437874893024e-03
1.009640102827763508e+00,4.190236748376282997e-04,1.019107479572595842e+00,1.113967437874893024e-03
1.010668380462725002e+00,4.190236748376282997e-04,1.021370207416719023e+00,2.570694087403598786e-04
1.011825192802056517e+00,2.095118374188141390e-03,1.023632935260842425e+00,1.113967437874893024e-03
1.012982005141388253e+00,4.190236748376282997e-04,1.025895663104965383e+00,2.570694087403598786e-04
1.014010282776349525e+00,2.095118374188141390e-03,1.028158390949088563e+00,2.570694087403598786e-04
1.015167095115681262e+00,2.933165723863398206e-03,1.030421118793211965e+00,1.113967437874893024e-03
1.016066838046272514e+00,2.095118374188141390e-03,1.032558139534883734e+00,1.970865467009425952e-03
1.017095115681234008e+00,1.257071024512884791e-03,1.034443746071653125e+00,2.570694087403598786e-04
1.018251928020565522e+00,2.095118374188141390e-03,1.036706473915776305e+00,1.113967437874893024e-03
1.019408740359897036e+00,3.771213073538654589e-03,1.038969201759899486e+00,1.970865467009425952e-03
1.020565552699228773e+00,1.257071024512884791e-03,1.041231929604022444e+00,1.970865467009425952e-03
1.021722365038560287e+00,2.095118374188141390e-03,1.043494657448145846e+00,1.970865467009425952e-03
1.022879177377892024e+00,2.933165723863398206e-03,1.045883092394720437e+00,1.970865467009425952e-03
1.023907455012853518e+00,2.095118374188141390e-03,1.048145820238843617e+00,3.684661525278492243e-03
1.024807197943444770e+00,2.933165723863398206e-03,1.049905719673161597e+00,2.827763496143958881e-03
1.025964010282776284e+00,4.609260423213911405e-03,1.052168447517284777e+00,2.827763496143958881e-03
1.027120822622108021e+00,4.609260423213911405e-03,1.054556882463859147e+00,5.398457583547558100e-03
1.028277634961439535e+00,5.447307772889167787e-03,1.056945317410433516e+00,6.255355612682090595e-03
1.029305912596401029e+00,4.609260423213911405e-03,1.059208045254556918e+00,2.827763496143958881e-03
1.030462724935732544e+00,5.447307772889167787e-03,1.061596480201131287e+00,6.255355612682090595e-03
1.031619537275064280e+00,4.609260423213911405e-03,1.063859208045254690e+00,5.398457583547558100e-03
1.032519280205655532e+00,2.933165723863398206e-03,1.066121935889377648e+00,4.541559554413024738e-03
1.033676092544987046e+00,5.447307772889167787e-03,1.068007542426147038e+00,6.255355612682090595e-03
1.034832904884318783e+00,3.771213073538654589e-03,1.070395977372721630e+00,7.112253641816623957e-03
1.035989717223650519e+00,5.447307772889167787e-03,1.072784412319296221e+00,7.112253641816623957e-03
1.037146529562982034e+00,5.447307772889167787e-03,1.075172847265870590e+00,8.911739502999144191e-03
1.038174807197943306e+00,5.447307772889167787e-03,1.077561282212445182e+00,1.062553556126820918e-02
1.039331619537275042e+00,6.285355122564424170e-03,1.079949717159019329e+00,1.319622964867180753e-02
1.040488431876606779e+00,6.285355122564424170e-03,1.082338152105593920e+00,1.319622964867180753e-02
1.041388174807198030e+00,7.877645086947411904e-03,1.084098051539912122e+00,1.405312767780634089e-02
1.042544987146529545e+00,1.206788183532369642e-02,1.086486486486486491e+00,1.756640959725792872e-02
1.043701799485861281e+00,1.039178713597318192e-02,1.088874921433061083e+00,1.842330762639245861e-02
1.044858611825192796e+00,1.206788183532369642e-02,1.091263356379635452e+00,1.928020565552699198e-02
1.046015424164524310e+00,1.290592918499895193e-02,1.093777498428661232e+00,2.099400171379605870e-02
1.047172236503856046e+00,1.458202388434946643e-02,1.096165933375235824e+00,2.793487574978577651e-02
1.048329048843187783e+00,1.625811858369997920e-02,1.098554368321810193e+00,2.793487574978577651e-02
1.049228791773778813e+00,1.785040854808296606e-02,1.100817096165933373e+00,3.393316195372751004e-02
1.050257069408740307e+00,1.709616593337523471e-02,1.102828409805153953e+00,3.573264781491002767e-02
1.051542416452442286e+00,1.952650324743348056e-02,1.105216844751728544e+00,4.173093401885175774e-02
1.052570694087403558e+00,1.952650324743348056e-02,1.107605279698302914e+00,4.781491002570694565e-02
1.053856041131105314e+00,2.204064529645925058e-02,1.110119421747328694e+00,5.038560411311053533e-02
1.054884318766066809e+00,2.539283469516027264e-02,1.112507856693903063e+00,5.561268209083119335e-02
1.056041131105398323e+00,2.623088204483553162e-02,1.115021998742929066e+00,6.169665809768637432e-02
1.057197943444730059e+00,2.706892939451078714e-02,1.117410433689503435e+00,6.769494430162810439e-02
1.058097686375321311e+00,3.201340875759479954e-02,1.119296040226272826e+00,7.206512425021421864e-02
1.059254498714652826e+00,3.452755080662057302e-02,1.121810182275298384e+00,7.806341045415596258e-02
1.060411311053984562e+00,3.704169285564633957e-02,1.124198617221872976e+00,8.329048843187659978e-02
1.061568123393316299e+00,3.787974020532160202e-02,1.126712759270898978e+00,9.108826049700084748e-02
1.062724935732647813e+00,4.031007751937983746e-02,1.129226901319924536e+00,9.888603256212509518e-02
1.064010282776349570e+00,4.533836161743138443e-02,1.131741043368950317e+00,1.092544987146529673e-01
1.065167095115681306e+00,4.701445631678189546e-02,1.134129478315524908e+00,1.143958868894601466e-01
1.066066838046272558e+00,4.701445631678189546e-02,1.136517913262099277e+00,1.230505569837189311e-01
1.067223650385604294e+00,5.112088833019064887e-02,1.138529226901319857e+00,1.308483290488431927e-01
1.068380462724935587e+00,5.531112507856694033e-02,1.141043368950345638e+00,1.403598971722365141e-01
1.069537275064267323e+00,5.950136182694321096e-02,1.143557510999371418e+00,1.473007712082262388e-01
1.070822622107969080e+00,6.360779384035197825e-02,1.146197360150848610e+00,1.603256212510711098e-01
1.071979434447300816e+00,6.528388853970248928e-02,1.148711502199874168e+00,1.724078834618680278e-01
1.073136246786632331e+00,7.190446260213700924e-02,1.151225644248899949e+00,1.793487574978577526e-01
1.074293059125964067e+00,7.525665200083804518e-02,1.153739786297925951e+00,1.931448157669237442e-01
1.075192802056555319e+00,7.860884139953906724e-02,1.155625392834695120e+00,2.026563838903170656e-01
1.076349614395886833e+00,8.028493609888959215e-02,1.158265241986172311e+00,2.130248500428449099e-01
1.077634961439588590e+00,8.606746281164884271e-02,1.160779384035197870e+00,2.251928020565552857e-01
1.078791773778920327e+00,8.941965221034987865e-02,1.163293526084223650e+00,2.389888603256212773e-01
1.079948586118252063e+00,9.520217892310915697e-02,1.165933375235700842e+00,2.545844044558697727e-01
1.081105398457583355e+00,9.939241567148542067e-02,1.168447517284726622e+00,2.693230505569837452e-01
