# Xlam,PX,Ylam,PY
1.000000000000000000e+00,4.125923175310475537e-04,1.000000000000000000e+00,1.098993997802011954e-03
1.002536139994927744e+00,-4.125923175310475537e-04,1.001113999257333909e+00,2.536139994927719935e-04
1.005325893989348129e+00,2.062961587655237714e-03,1.002475553905186167e+00,1.098993997802011954e-03
1.008115647983768737e+00,-4.125923175310475537e-04,1.003837108553038648e+00,2.536139994927719935e-04
1.010905401978189344e+00,4.125923175310475537e-04,1.005322440896150527e+00,2.536139994927719935e-04
1.013695155972609729e+00,2.062961587655237714e-03,1.006683995544003007e+00,1.098993997802011954e-03
1.016484909967030115e+00,-4.125923175310475537e-04,1.008045550191855266e+00,2.536139994927719935e-04
1.019274663961450722e+00,1.237776952593142498e-03,1.009407104839707747e+00,1.098993997802011954e-03
1.021303575957392962e+00,2.062961587655237714e-03,1.010521104097041656e+00,1.098993997802011954e-03
1.024220136951559779e+00,2.888146222717333147e-03,1.011882658744894137e+00,2.536139994927719935e-04
1.027136697945726596e+00,1.237776952593142498e-03,1.013244213392746618e+00,1.098993997802011954e-03
1.029926451940146981e+00,3.713330857779427712e-03,1.014729545735858274e+00,1.098993997802011954e-03
1.032716205934567588e+00,1.237776952593142498e-03,1.016091100383710755e+00,1.098993997802011954e-03
1.035632766928734405e+00,3.713330857779427712e-03,1.017452655031563236e+00,1.098993997802011954e-03
1.038422520923155012e+00,3.713330857779427712e-03,1.018937987374674892e+00,2.536139994927719935e-04
1.040831853918336325e+00,4.538515492841522711e-03,1.020175764327268197e+00,1.944373996111251968e-03
1.043494800913010501e+00,2.888146222717333147e-03,1.021289763584601884e+00,3.635133992729732214e-03
1.046411361907177318e+00,5.363700127903618144e-03,1.022775095927713762e+00,4.480513991038971577e-03
1.049327922901344134e+00,2.888146222717333147e-03,1.024136650575566243e+00,3.635133992729732214e-03
1.052244483895510951e+00,5.363700127903618144e-03,1.025621982918677899e+00,6.171273987657451172e-03
1.055161044889677768e+00,4.538515492841522711e-03,1.026983537566530602e+00,5.325893989348211809e-03
1.057950798884098376e+00,2.888146222717333147e-03,1.028468869909642258e+00,3.635133992729732214e-03
1.060867359878265193e+00,5.363700127903618144e-03,1.029830424557494739e+00,6.171273987657451172e-03
1.063149885873700295e+00,3.713330857779427712e-03,1.030944423814828648e+00,5.325893989348211809e-03
1.066066446867867112e+00,6.188884762965712709e-03,1.032305978462680907e+00,6.171273987657451172e-03
1.068983007862033929e+00,6.188884762965712709e-03,1.033791310805792785e+00,7.016653985966692271e-03
1.071899568856200746e+00,6.188884762965712709e-03,1.035152865453645044e+00,7.946571984106856265e-03
1.074942936850114217e+00,6.931550934521598858e-03,1.036638197796756922e+00,1.132809197734381546e-02
1.077859497844281034e+00,1.023228947476997885e-02,1.037999752444609625e+00,1.217347197565305655e-02
1.080776058838447851e+00,9.407104839707884289e-03,1.039485084787721059e+00,1.217347197565305655e-02
1.083312198833375817e+00,1.270784337995626428e-02,1.040846639435573762e+00,1.386423197227153528e-02
1.085975145828049770e+00,1.270784337995626428e-02,1.041960638692907670e+00,1.555499196889001574e-02
1.089018513821963019e+00,1.518339728514254972e-02,1.043445971036019104e+00,1.733028996533942170e-02
1.092061881815876268e+00,1.840161736188472216e-02,1.044807525683871807e+00,1.470961197058077638e-02
1.095105249809789516e+00,1.757643272682262586e-02,1.046292858026983463e+00,2.071180995857637916e-02
1.098021810803956555e+00,1.840161736188472216e-02,1.047778190370095119e+00,2.155718995688562026e-02
1.101065178797869581e+00,1.922680199694681499e-02,1.049139745017947822e+00,2.755938794488122304e-02
1.104108546791783052e+00,2.252754053719519672e-02,1.050625077361059478e+00,2.925014794149970523e-02
1.106391072787217711e+00,2.500309444238147868e-02,1.051739076618393165e+00,3.178628793642742506e-02
1.109434440781131181e+00,2.822131451912365460e-02,1.053100631266245868e+00,3.440696593118607038e-02
1.112477808775044430e+00,3.317242232949622199e-02,1.054585963609357524e+00,3.863386592273226894e-02
1.115521176768957679e+00,3.482279159962041459e-02,1.056071295952469180e+00,4.463606391072787172e-02
1.118691351762617359e+00,3.729834550480670002e-02,1.057556628295581058e+00,4.717220390565559501e-02
1.121734719756530607e+00,4.381730412179725420e-02,1.059041960638692936e+00,4.801758390396483611e-02
1.124778087750443856e+00,4.794322729710771835e-02,1.060403515286545195e+00,5.486516189026967305e-02
1.127441034745117809e+00,4.876841193216981812e-02,1.061888847629657073e+00,6.171273987657451693e-02
1.130230788739538417e+00,5.198663200891198710e-02,1.063002846886990982e+00,6.255811987488375803e-02
1.133400963733198097e+00,5.858810908940875056e-02,1.064488179230102638e+00,6.847577986304843878e-02
1.136571138726857777e+00,6.428188307133721191e-02,1.065973511573214516e+00,7.532335784935327572e-02
1.139741313720517235e+00,7.080084168832775915e-02,1.067458843916326172e+00,7.963479584073041018e-02
1.142911488714176915e+00,7.575194949870033001e-02,1.068944176259438050e+00,8.639783582720432509e-02
1.145954856708090386e+00,7.905268803894871521e-02,1.070429508602549706e+00,9.409079381181841006e-02
1.149125031701749844e+00,8.722201592606344811e-02,1.071914840945661584e+00,1.009383717981232470e-01
