# Xlam,PX,Ylam,PY
1.000000000000000000e+00,4.054163626043947753e-04,1.000000000000000000e+00,2.498126405196103052e-04
1.001998501124156782e+00,4.054163626043947753e-04,1.000000000000000000e+00,1.082521442251644728e-03
1.004121908568573529e+00,1.216249087813184217e-03,1.000000000000000000e+00,1.082521442251644728e-03
1.006120409692730311e+00,4.054163626043947753e-04,1.000000000000000000e+00,2.498126405196103052e-04
1.008243817137147280e+00,1.216249087813184217e-03,1.000000000000000000e+00,1.082521442251644728e-03
1.010242318261304062e+00,4.054163626043947753e-04,1.000000000000000000e+00,2.498126405196103052e-04
1.012365725705720809e+00,1.216249087813184217e-03,1.000000000000000000e+00,2.498126405196103052e-04
1.014489133150137334e+00,2.027081813021973985e-03,1.000000000000000000e+00,1.915230243983678717e-03
1.016487634274294338e+00,2.027081813021973985e-03,1.000000000000000000e+00,2.498126405196103052e-04
1.018611041718710863e+00,3.648747263439552652e-03,1.000000000000000000e+00,2.498126405196103052e-04
1.020234823882088637e+00,2.837914538230763752e-03,1.000000000000000000e+00,1.082521442251644728e-03
1.022233325006245419e+00,2.027081813021973985e-03,1.000000000000000000e+00,2.498126405196103052e-04
1.024356732450661944e+00,2.027081813021973985e-03,1.000000000000000000e+00,1.082521442251644728e-03
1.026480139895078691e+00,3.648747263439552652e-03,1.000000000000000000e+00,1.915230243983678717e-03
1.028603547339495217e+00,2.837914538230763752e-03,1.000000000000000000e+00,2.498126405196103052e-04
1.030726954783912186e+00,2.837914538230763752e-03,1.000000000000000000e+00,1.082521442251644728e-03
1.032850362228328711e+00,2.837914538230763752e-03,1.000000000000000000e+00,1.082521442251644728e-03
1.034973769672745458e+00,3.648747263439552652e-03,1.000000000000000000e+00,1.082521442251644728e-03
1.037097177117162206e+00,2.027081813021973985e-03,1.000000000000000000e+00,1.082521442251644728e-03
1.039220584561578731e+00,2.837914538230763752e-03,1.000000000000000000e+00,2.498126405196103052e-04
1.040844366724956283e+00,3.648747263439552652e-03,1.000000000000000000e+00,1.082521442251644728e-03
1.042842867849113064e+00,3.648747263439552652e-03,1.000000000000000000e+00,2.498126405196103052e-04
1.045091181613789777e+00,2.837914538230763752e-03,1.000000000000000000e+00,1.915230243983678717e-03
1.047214589058206302e+00,3.648747263439552652e-03,1.000000000000000000e+00,1.915230243983678717e-03
1.049337996502623049e+00,2.837914538230763752e-03,1.000000000000000000e+00,2.498126405196103052e-04
