# Xlam,PX,Ylam,PY
1.000000000000000000e+00,4.054163626043947753e-04,1.000000000000000000e+00,1.082521442251644728e-03
1.000000000000000000e+00,2.027081813021973985e-03,1.001945998540501037e+00,2.498126405196103052e-04
1.000000000000000000e+00,2.027081813021973985e-03,1.004013621989783722e+00,2.498126405196103052e-04
1.000000000000000000e+00,2.027081813021973985e-03,1.006081245439065963e+00,1.915230243983678717e-03
1.000000000000000000e+00,3.648747263439552652e-03,1.008148868888348426e+00,2.498126405196103052e-04
1.000000000000000000e+00,3.648747263439552652e-03,1.010338117246412093e+00,1.082521442251644728e-03
1.000000000000000000e+00,1.216249087813184217e-03,1.012284115786913352e+00,2.498126405196103052e-04
1.000000000000000000e+00,4.054163626043947753e-04,1.014473364144976797e+00,2.498126405196103052e-04
1.000000000000000000e+00,2.837914538230763752e-03,1.016419362685478056e+00,1.082521442251644728e-03
1.000000000000000000e+00,5.270412713857131753e-03,1.018608611043541723e+00,2.498126405196103052e-04
1.000000000000000000e+00,4.459579988648342853e-03,1.020189734857698927e+00,2.498126405196103052e-04
1.000000000000000000e+00,2.027081813021973985e-03,1.022257358306981168e+00,1.082521442251644728e-03
1.000000000000000000e+00,3.648747263439552652e-03,1.024324981756263853e+00,2.498126405196103052e-04
1.000000000000000000e+00,3.648747263439552652e-03,1.026514230114327519e+00,1.915230243983678717e-03
1.000000000000000000e+00,2.837914538230763752e-03,1.028581853563609982e+00,1.082521442251644728e-03
1.000000000000000000e+00,3.648747263439552652e-03,1.030649477012892223e+00,1.082521442251644728e-03
1.000000000000000000e+00,3.648747263439552652e-03,1.032838725370956112e+00,1.915230243983678717e-03
1.000000000000000000e+00,5.270412713857131753e-03,1.034906348820238575e+00,1.082521442251644728e-03
1.000000000000000000e+00,4.459579988648342853e-03,1.037095597178302242e+00,2.747939045715713357e-03
1.000000000000000000e+00,3.648747263439552652e-03,1.039163220627584705e+00,1.915230243983678717e-03
1.000000000000000000e+00,4.459579988648342853e-03,1.040865969350523113e+00,4.413356649179781335e-03
1.000000000000000000e+00,3.648747263439552652e-03,1.042933592799805576e+00,4.413356649179781335e-03
1.000000000000000000e+00,5.270412713857131753e-03,1.045001216249088039e+00,3.580647847447747563e-03
1.000000000000000000e+00,5.270412713857131753e-03,1.047190464607151483e+00,6.078774252643849747e-03
1.000000000000000000e+00,2.837914538230763752e-03,1.049379712965215372e+00,3.580647847447747563e-03
1.000000000000000000e+00,5.270412713857131753e-03,1.051447336414497613e+00,6.078774252643849747e-03
1.000000000000000000e+00,4.459579988648342853e-03,1.053636584772561502e+00,5.246065450911815975e-03
1.000000000000000000e+00,2.837914538230763752e-03,1.055704208221843965e+00,4.413356649179781335e-03
1.000000000000000000e+00,5.270412713857131753e-03,1.057893456579907632e+00,6.078774252643849747e-03
1.000000000000000000e+00,3.648747263439552652e-03,1.060082704937971299e+00,6.911483054375885254e-03
1.000000000000000000e+00,3.648747263439552652e-03,1.061785453660909928e+00,6.078774252643849747e-03
1.000000000000000000e+00,5.270412713857131753e-03,1.063853077110192169e+00,7.827462736281121450e-03
1.000000000000000000e+00,2.837914538230763752e-03,1.066042325468256058e+00,9.492880339745190729e-03
1.000000000000000000e+00,5.270412713857131753e-03,1.068231573826319725e+00,1.282371554667332755e-02
