# Xlam,PX,Ylam,PY
1.000000000000000000e+00,1.452534090975115091e-04,1.000000000000000000e+00,-8.025298074161923501e-04
1.001788036410923288e+00,1.452534090975115091e-04,1.002912621359223433e+00,-7.295725521965385494e-05
1.003413524057217066e+00,1.452534090975115091e-04,1.006472491909385036e+00,-8.025298074161923501e-04
1.005201560468140354e+00,8.715204545850691086e-04,1.010032362459546862e+00,-8.025298074161923501e-04
1.006989596879063642e+00,1.452534090975115091e-04,1.013592233009708909e+00,-7.295725521965385494e-05
1.008615084525357641e+00,1.452534090975115091e-04,1.016990291262136026e+00,6.566152969768847486e-04
1.010078023407022130e+00,1.452534090975115091e-04,1.020226537216828433e+00,-7.295725521965385494e-05
1.011703511053315907e+00,1.452534090975115091e-04,1.023300970873786353e+00,-7.295725521965385494e-05
1.013491547464239195e+00,1.452534090975115091e-04,1.026860841423948179e+00,1.459145104393077099e-03
1.015279583875162706e+00,1.452534090975115091e-04,1.030420711974110226e+00,-7.295725521965385494e-05
1.017067620286085994e+00,1.452534090975115091e-04,1.033980582524272052e+00,-7.295725521965385494e-05
1.018855656697009060e+00,8.715204545850691086e-04,1.037540453074433655e+00,-7.295725521965385494e-05
1.020156046814044259e+00,1.452534090975115091e-04,1.040776699029126284e+00,-7.295725521965385494e-05
1.021944083224967548e+00,1.452534090975115091e-04,1.043851132686084204e+00,1.459145104393077099e-03
1.023732119635890836e+00,1.452534090975115091e-04,1.047411003236246030e+00,-7.295725521965385494e-05
1.025357607282184613e+00,1.452534090975115091e-04,1.051132686084142565e+00,-7.295725521965385494e-05
1.027145643693107901e+00,1.597787500072626573e-03,1.054854368932038877e+00,-7.295725521965385494e-05
1.029096228868660701e+00,2.324054545560184145e-03,1.058414239482200703e+00,-7.295725521965385494e-05
1.030396618985695678e+00,3.776588636535299724e-03,1.061812297734627819e+00,6.566152969768847486e-04
1.032184655396618966e+00,3.050321591047741934e-03,1.064886731391585961e+00,6.566152969768847486e-04
1.033972691807542255e+00,5.156496022961659480e-03,1.068608414239482274e+00,6.566152969768847486e-04
1.035760728218465543e+00,3.050321591047741934e-03,1.072491909385113296e+00,2.188717656589615757e-03
1.037548764629388831e+00,4.502855682022856645e-03,1.076213592233009830e+00,3.647862760982693072e-03
1.039336801040312119e+00,4.502855682022856645e-03,1.079935275080906365e+00,4.377435313179231513e-03
1.040799739921976608e+00,2.324054545560184145e-03,1.083333333333333481e+00,2.918290208786154197e-03
1.042587776332899896e+00,4.502855682022856645e-03,1.086407766990291401e+00,5.107007865375770388e-03
1.044375812743823184e+00,5.882763068449216835e-03,1.090291262135922423e+00,5.909537672791962196e-03
1.046163849154746472e+00,5.882763068449216835e-03,1.094012944983818736e+00,6.639110224988500203e-03
1.047951885565669761e+00,5.882763068449216835e-03,1.097896440129449980e+00,1.108950279338738638e-02
1.049739921976593049e+00,6.609030113936773324e-03,1.101618122977346292e+00,1.108950279338738638e-02
1.051202860858257537e+00,9.514098295887004481e-03,1.105177993527508118e+00,1.408075025739319482e-02
1.052990897269180604e+00,1.024036534137456357e-02,1.108252427184466038e+00,1.408075025739319482e-02
1.054778933680103892e+00,1.096663238686211919e-02,1.112135922330097282e+00,1.772861301837588485e-02
1.056566970091027180e+00,1.169289943234967655e-02,1.116019417475728304e+00,1.926071537798861727e-02
1.058517555266579979e+00,1.532423465978746506e-02,1.119902912621359325e+00,2.444068049858404146e-02
1.060305591677503267e+00,1.241916647783723564e-02,1.123786407766990347e+00,2.962064561917946565e-02
1.061768530559167756e+00,1.169289943234967655e-02,1.127508090614886882e+00,3.487356799499454624e-02
1.063556566970091044e+00,1.677676875076258151e-02,1.130744336569579511e+00,3.852143075597723454e-02
1.065344603381014332e+00,1.822930284173769622e-02,1.134627831715210533e+00,4.297182332437611552e-02
1.067295188556566909e+00,2.040810397820036828e-02,1.138673139158576042e+00,4.968389080458427559e-02
1.069083224967490198e+00,2.331317216015059771e-02,1.142556634304207064e+00,5.785510338918550821e-02
1.071033810143042997e+00,2.331317216015059771e-02,1.146601941747573017e+00,6.529674342159019762e-02
1.072496749024707263e+00,2.767077443307594531e-02,1.150323624595469330e+00,7.047670854218561487e-02
1.074284785435630774e+00,2.912330852405106002e-02,1.153559870550161959e+00,7.937749367898340458e-02
1.076072821846554062e+00,3.413455113791520612e-02,1.157443365695792981e+00,8.827827881578116653e-02
1.078023407022106639e+00,3.703961931986543554e-02,1.161488673139158712e+00,9.717906395257894236e-02
1.079811443433029927e+00,3.994468750181567190e-02,1.165533980582524443e+00,1.061528063445963677e-01
1.081762028608582504e+00,4.067095454730322579e-02,1.169579288025889952e+00,1.187744114975964882e-01
1.083224967490246993e+00,4.357602272925345521e-02,1.173462783171520973e+00,1.268726668269780644e-01
1.085013003901170281e+00,4.648109091120368463e-02,1.176699029126213603e+00,1.350438794115792762e-01
1.086801040312093569e+00,5.156496022961658265e-02,1.180744336569579334e+00,1.476654845645793968e-01
1.088751625487646368e+00,5.439740170701806016e-02,1.184951456310679774e+00,1.595575171653829671e-01
1.090702210663198946e+00,5.802873693445585040e-02,1.189158576051779992e+00,1.737112246779958513e-01
1.092490247074122234e+00,6.311260625286875536e-02,1.193203883495145723e+00,1.863328298309959719e-01
1.094115734720416011e+00,6.529140738933142396e-02,1.197249190938511454e+00,2.018727251927822097e-01
1.095903771131339299e+00,6.747020852579410644e-02,1.200485436893204083e+00,2.093143652251869269e-01
1.097854356306892099e+00,7.328034488969456528e-02,1.204692556634304301e+00,2.249272178421928559e-01
1.099642392717815387e+00,7.545914602615722000e-02,1.208899676375404519e+00,2.390079680995860489e-01
1.101592977893367964e+00,8.119665568550894774e-02,1.213106796116504960e+00,2.576120681805977863e-01
1.103543563068920541e+00,8.628052500392183188e-02,1.217152103559870691e+00,2.731519635423840242e-01
1.105169050715214540e+00,9.281692841330986543e-02,1.221359223300970909e+00,2.910264910711992115e-01
