# Xlam,PX,Ylam,PY
1.000000000000000000e+00,8.715204545850691086e-04,1.000000000000000000e+00,-8.025298074161923501e-04
1.003250975292587777e+00,1.452534090975115091e-04,1.001456310679611716e+00,-8.025298074161923501e-04
1.006827048114434353e+00,1.452534090975115091e-04,1.003236245954692629e+00,6.566152969768847486e-04
1.010240572171651419e+00,8.715204545850691086e-04,1.004854368932038833e+00,6.566152969768847486e-04
1.013816644993497995e+00,1.452534090975115091e-04,1.006634304207119746e+00,-8.025298074161923501e-04
1.017392717815344572e+00,1.452534090975115091e-04,1.008414239482200658e+00,-7.295725521965385494e-05
1.020156046814044259e+00,1.452534090975115091e-04,1.010032362459546862e+00,-7.295725521965385494e-05
1.023569570871261325e+00,1.452534090975115091e-04,1.011488673139158578e+00,-7.295725521965385494e-05
1.027145643693107901e+00,8.715204545850691086e-04,1.013268608414239713e+00,-8.025298074161923501e-04
1.030721716514954478e+00,1.452534090975115091e-04,1.015048543689320404e+00,-7.295725521965385494e-05
1.034297789336801054e+00,1.452534090975115091e-04,1.016828478964401317e+00,-7.295725521965385494e-05
1.037873862158647631e+00,8.715204545850691086e-04,1.018608414239482229e+00,6.566152969768847486e-04
1.040799739921976608e+00,1.452534090975115091e-04,1.020226537216828433e+00,-7.295725521965385494e-05
1.044213263979193895e+00,1.452534090975115091e-04,1.021682847896440149e+00,6.566152969768847486e-04
1.047789336801040250e+00,8.715204545850691086e-04,1.023462783171521062e+00,-7.295725521965385494e-05
1.051527958387516337e+00,1.452534090975115091e-04,1.025242718446601975e+00,-7.295725521965385494e-05
1.055104031209362914e+00,1.452534090975115091e-04,1.027022653721682888e+00,1.459145104393077099e-03
1.058842652795838779e+00,1.452534090975115091e-04,1.028802588996763800e+00,-7.295725521965385494e-05
1.061768530559167756e+00,1.452534090975115091e-04,1.030420711974110226e+00,-7.295725521965385494e-05
1.065182054616384821e+00,8.715204545850691086e-04,1.031877022653721721e+00,1.459145104393077099e-03
1.068920676202860909e+00,8.715204545850691086e-04,1.033656957928802633e+00,-7.295725521965385494e-05
1.072821846553966285e+00,2.324054545560184145e-03,1.035598705501618255e+00,6.566152969768847486e-04
1.076397919375812640e+00,1.597787500072626573e-03,1.037378640776699168e+00,-7.295725521965385494e-05
1.080136540962288727e+00,3.776588636535299724e-03,1.039158576051779859e+00,-7.295725521965385494e-05
1.083224967490246993e+00,3.050321591047741934e-03,1.040776699029126284e+00,6.566152969768847486e-04
1.086801040312093569e+00,5.156496022961659480e-03,1.042233009708737779e+00,-7.295725521965385494e-05
1.090539661898569657e+00,4.502855682022856645e-03,1.044174757281553401e+00,-7.295725521965385494e-05
1.094440832249675033e+00,2.324054545560184145e-03,1.045954692556634313e+00,2.188717656589615757e-03
1.098179453836150898e+00,5.156496022961659480e-03,1.047734627831715448e+00,-7.295725521965385494e-05
1.102080624187256275e+00,4.502855682022856645e-03,1.049676375404530848e+00,-7.295725521965385494e-05
1.105169050715214540e+00,5.156496022961659480e-03,1.051294498381877052e+00,1.459145104393077099e-03
1.108745123537061117e+00,5.882763068449216835e-03,1.052750809061488768e+00,-7.295725521965385494e-05
1.112646293888166493e+00,5.882763068449216835e-03,1.054692556634304168e+00,6.566152969768847486e-04
1.116547464239271648e+00,1.096663238686211919e-02,1.056472491909385081e+00,-7.295725521965385494e-05
1.120448634590377024e+00,1.024036534137456357e-02,1.058252427184465994e+00,6.566152969768847486e-04
1.124187256176853111e+00,1.169289943234967655e-02,1.060194174757281615e+00,1.459145104393077099e-03
1.127438231469440888e+00,1.314543352332479126e-02,1.061812297734627819e+00,5.107007865375770388e-03
1.131014304291287464e+00,1.314543352332479126e-02,1.063268608414239536e+00,3.647862760982693072e-03
1.135078023407022130e+00,1.387170056881235035e-02,1.065210355987055157e+00,3.647862760982693072e-03
1.138979193758127506e+00,1.677676875076258151e-02,1.066990291262136070e+00,5.107007865375770388e-03
