# Xlam,PX,Ylam,PY
1.000000000000000000e+00,-6.670855964212191484e-04,1.000000000000000000e+00,-1.325816132636767081e-04
1.002636783124587927e+00,-0.000000000000000000e+00,1.002321724709784423e+00,-7.954896795820602488e-04
1.005438365194462724e+00,-6.670855964212191484e-04,1.004975124378109541e+00,-1.325816132636767081e-04
1.008239947264337522e+00,-0.000000000000000000e+00,1.007794361525704785e+00,-7.954896795820602488e-04
1.011041529334212097e+00,-0.000000000000000000e+00,1.010613598673300251e+00,-7.954896795820602488e-04
1.013843111404086894e+00,-0.000000000000000000e+00,1.013432835820895495e+00,-1.325816132636767081e-04
1.016644693473961691e+00,-6.670855964212191484e-04,1.016252072968490960e+00,-1.325816132636767081e-04
1.019446275543836489e+00,-0.000000000000000000e+00,1.019071310116086204e+00,-7.954896795820602488e-04
1.021423862887277600e+00,-0.000000000000000000e+00,1.021061359867329932e+00,5.303264530547068326e-04
1.024390243902439046e+00,-0.000000000000000000e+00,1.023880597014925398e+00,-7.954896795820602488e-04
1.027191825972313843e+00,-0.000000000000000000e+00,1.026699834162520641e+00,-1.325816132636767081e-04
1.029993408042188419e+00,-0.000000000000000000e+00,1.029684908789386455e+00,5.303264530547068326e-04
1.032794990112063216e+00,-0.000000000000000000e+00,1.032504145936981699e+00,-1.325816132636767081e-04
1.035761371127224661e+00,6.670855964212191484e-04,1.035323383084577165e+00,-1.325816132636767081e-04
1.038562953197099459e+00,-0.000000000000000000e+00,1.038142620232172408e+00,5.303264530547068326e-04
1.040870138431113867e+00,-0.000000000000000000e+00,1.040796019900497527e+00,5.303264530547068326e-04
1.043506921555702016e+00,6.670855964212191484e-04,1.043117744610281949e+00,-1.325816132636767081e-04
1.046473302570863462e+00,-0.000000000000000000e+00,1.046102819237147541e+00,5.303264530547068326e-04
1.049274884640738259e+00,6.670855964212191484e-04,1.048922056384743007e+00,5.303264530547068326e-04
1.052241265655899705e+00,-0.000000000000000000e+00,1.051907131011608598e+00,1.193234519373090373e-03
1.055042847725774502e+00,-0.000000000000000000e+00,1.054726368159204064e+00,1.922433392323312376e-03
1.058009228740935947e+00,6.670855964212191484e-04,1.057711442786069655e+00,1.922433392323312376e-03
1.060810810810810745e+00,-0.000000000000000000e+00,1.060530679933665121e+00,2.585341458641695483e-03
1.063117996044825375e+00,-0.000000000000000000e+00,1.062852404643449322e+00,1.922433392323312376e-03
1.066084377059986821e+00,6.670855964212191484e-04,1.065671641791044788e+00,1.193234519373090373e-03
1.068885959129861396e+00,-0.000000000000000000e+00,1.068656716417910379e+00,3.248249524960079241e-03
1.071852340145023064e+00,-0.000000000000000000e+00,1.071641791044775971e+00,2.585341458641695483e-03
1.074818721160184509e+00,6.670855964212191484e-04,1.074626865671641784e+00,2.585341458641695483e-03
1.077785102175345955e+00,1.334171192842438297e-03,1.077446102819237028e+00,3.911157591278462999e-03
1.080751483190507400e+00,6.670855964212191484e-04,1.080431177446102842e+00,2.585341458641695483e-03
1.083223467369808901e+00,2.668342385684876594e-03,1.083250414593698085e+00,3.248249524960079241e-03
1.086025049439683476e+00,4.002513578527314674e-03,1.085737976782752856e+00,3.911157591278462999e-03
1.088991430454845144e+00,2.001256789263657337e-03,1.088723051409618670e+00,3.911157591278462999e-03
1.092122610415293238e+00,4.669599174948534798e-03,1.091708126036484261e+00,4.574065657596846322e-03
1.095088991430454906e+00,4.669599174948534798e-03,1.094693200663349852e+00,7.954896795820601621e-03
1.098055372445616351e+00,5.336684771369753187e-03,1.097678275290215444e+00,7.291988729502218297e-03
1.101186552406064667e+00,9.339198349897069595e-03,1.100829187396351605e+00,1.000991180140759114e-02
1.104152933421226113e+00,8.672112753475848604e-03,1.103814262023217196e+00,1.133572793404435952e-02
1.106460118655240521e+00,9.339198349897069595e-03,1.106135986733001619e+00,1.266154406668112443e-02
1.109591298615688837e+00,1.127374657951860440e-02,1.109121061359867211e+00,1.199863600036274111e-02
1.112557679630850282e+00,1.127374657951860440e-02,1.112271973466003150e+00,1.537946713858649901e-02
1.115688859591298598e+00,1.067336954273950637e-02,1.115422885572139311e+00,1.604237520490487887e-02
1.118820039551746692e+00,1.594334575446713920e-02,1.118407960199004902e+00,2.081531328239724296e-02
1.121951219512195008e+00,1.861168814015201622e-02,1.121558872305140842e+00,2.552196055325776577e-02
1.124917600527356676e+00,2.128003052583688978e-02,1.124709784411277003e+00,2.618486861957615083e-02
1.127554383651944603e+00,2.461545850794298607e-02,1.127529021558872246e+00,3.089151589043667365e-02
1.130355965721819178e+00,2.594962970078542458e-02,1.130016583747927017e+00,3.427234702866042981e-02
1.133487145682267494e+00,3.061922887573395938e-02,1.133167495854062956e+00,3.765317816688418945e-02
1.136618325642715810e+00,3.328757126141883294e-02,1.136318407960199117e+00,4.169691737142632026e-02
1.139749505603164126e+00,3.522211949104037121e-02,1.139469320066335056e+00,4.574065657596846496e-02
1.142880685563612442e+00,3.789046187672524824e-02,1.142620232172470995e+00,5.117650271977920717e-02
1.146176664469347406e+00,4.389423224451621808e-02,1.145771144278606934e+00,5.720896612327649317e-02
1.149307844429795500e+00,4.856383141946474941e-02,1.148756218905472748e+00,6.058979726150025280e-02
1.151615029663810130e+00,5.123217380514963337e-02,1.151243781094527296e+00,6.397062839972400550e-02
1.154746209624258446e+00,5.716923561329848025e-02,1.154394693200663458e+00,7.139519874248989595e-02
1.158042188529993410e+00,5.917049240256213455e-02,1.157545605306799397e+00,7.881976908525580028e-02
1.161173368490441504e+00,6.650843396319554290e-02,1.160696517412935336e+00,8.418932442243470815e-02
1.164469347396176468e+00,7.051094754172285151e-02,1.164013266998341622e+00,8.889597169329523096e-02
1.167600527356624784e+00,7.784888910235628068e-02,1.167164179104477562e+00,9.771264897532973281e-02
1.170731707317073100e+00,8.245177971766268210e-02,1.170315091210613723e+00,1.058001273844140083e-01
1.173533289386947898e+00,8.578720769976878879e-02,1.173466003316749662e+00,1.118325907879113013e-01
1.176499670402109343e+00,9.379223485682341988e-02,1.175953565505804210e+00,1.179313449980404355e-01
1.179795649307844307e+00,9.979600522461437584e-02,1.179270315091210497e+00,1.274109303463933085e-01
1.183091628213579272e+00,1.077343238220268840e-01,1.182587064676617006e+00,1.341063018162090004e-01
1.186222808174027588e+00,1.150722653826603131e-01,1.185903814262023070e+00,1.435858871645618595e-01
1.189518787079762552e+00,1.224102069432937145e-01,1.189054726368159232e+00,1.529991817062829051e-01
1.192814765985497738e+00,1.310156111371274246e-01,1.192371475953565518e+00,1.597608439827304383e-01
1.196110744891232702e+00,1.376864671013396380e-01,1.195688225538971805e+00,1.705662454637200676e-01
1.198582729070533981e+00,1.430231518727093920e-01,1.198175787728026576e+00,1.773279077401676007e-01
1.201878707976268945e+00,1.529627272593855614e-01,1.201492537313432862e+00,1.867412022818886463e-01
1.205174686882003909e+00,1.616348400128614082e-01,1.204809286898839149e+00,1.975466037628782756e-01
1.208470665787738874e+00,1.702402442066951183e-01,1.208126036484245436e+00,2.076890971775495476e-01
1.211931443638760708e+00,1.789123569601709651e-01,1.211442786069651723e+00,2.184282078519073633e-01
1.215227422544495672e+00,1.875844697136468398e-01,1.214759535655058009e+00,2.292336093328970203e-01
1.218523401450230637e+00,1.981911306967442110e-01,1.218076285240464296e+00,2.380502866149315222e-01
1.221324983520105434e+00,2.068632434502200579e-01,1.221393034825870583e+00,2.481264892229709529e-01
